1|piimä|1.20|40|3|
2|juusto|3.00|23|3|
3|kananmunat|1.00|15|4|
4|ruisleipa|2.00|20|2|
5|vaalealeipa|1.00|20|2|
6|omenat|2.00|60|1|
7|tomaatit|1.00|55|1|
8|pulla|2.00|10|2|
9|jauhot|1.00|15|5|
10|suola|2.00|20|5|
11|puurohiutaleet|1.00|15|4|
12|pasta|1.00|20|4|
13|papusailyke|0.50|20|9|
14|tonnikala|1.00|20|9|
15|ananaspalat|0.50|18|9|
16|vehnajauhot|1.00|15|4|
17|siivoushanskat|3.00|5|6|
18|ämpäri|4.00|7|6|
19|pesuvati|3.00|7|6|
20|luomuliha|3.00|5|7|
21|lihapullat|2.00|8|7|
22|sanomalehti|1.00|10|8|
23|kortit|0.50|30|8|
24|sarjakuvalehti|1.20|14|8|
25|Testituote7635|10.00|28|1|
26|Testituote2|1.50|50|4|
